Feature,F_Statistic,P_Value,Significant_At_0.05
CASH_ADVANCE,6595.625548051976,0.0,True
PURCHASES_FREQUENCY,5754.99221057559,0.0,True
PURCHASES_TRX,5611.759329897604,0.0,True
PURCHASES,5054.818767045893,0.0,True
CASH_ADVANCE_CREDIT_RATIO,4736.062007627558,0.0,True
CASH_ADVANCE_TRX,3370.5039616494705,0.0,True
PURCHASES_INSTALLMENTS_FREQUENCY,2980.700054846318,0.0,True
CASH_ADVANCE_FREQUENCY,2893.3647132025194,0.0,True
INSTALLMENTS_PURCHASES,2643.840433246205,0.0,True
ONEOFF_PURCHASES,2145.5473087027626,0.0,True
PURCHASES_CREDIT_RATIO,1982.0730687845207,0.0,True
ONEOFF_PURCHASES_FREQUENCY,1788.4749835940052,0.0,True
PAYMENTS,1550.3337354135008,0.0,True
BALANCE,1136.3559573531436,0.0,True
PURCHASE_PAYMENT_RATIO,1048.7752064908789,0.0,True
PRC_FULL_PAYMENT,732.6791811314639,0.0,True
MINIMUM_PAYMENTS,585.3171571330945,0.0,True
CREDIT_LIMIT,573.3931496447796,0.0,True
BALANCE_CREDIT_RATIO,459.6476359753421,9.067314420847146e-278,True
PAYMENT_CREDIT_RATIO,318.9126912636533,9.848797144220844e-197,True
BALANCE_FREQUENCY,149.46844325307785,1.6212337652009464e-94,True
TENURE,,,False
