,count,unique,top,freq,mean,std,min,25%,50%,75%,max
CUST_ID,8950,8950,C10001,1,,,,,,,
BALANCE,8950.0,,,,1564.4748276781006,2081.5318794565546,0.0,128.2819155,873.385231,2054.1400355,19043.13856
BALANCE_FREQUENCY,8950.0,,,,0.8772707255865921,0.23690400268476855,0.0,0.888889,1.0,1.0,1.0
PURCHASES,8950.0,,,,1003.2048335195531,2136.6347818728887,0.0,39.635,361.28,1110.13,49039.57
ONEOFF_PURCHASES,8950.0,,,,592.4373709497207,1659.887917437811,0.0,0.0,38.0,577.405,40761.25
INSTALLMENTS_PURCHASES,8950.0,,,,411.0676446927374,904.3381151753817,0.0,0.0,89.0,468.6375,22500.0
CASH_ADVANCE,8950.0,,,,978.8711124654749,2097.163876643234,0.0,0.0,0.0,1113.8211392500002,47137.21176
PURCHASES_FREQUENCY,8950.0,,,,0.49035054837988823,0.40137074736904105,0.0,0.083333,0.5,0.916667,1.0
ONEOFF_PURCHASES_FREQUENCY,8950.0,,,,0.202457683575419,0.2983360651847195,0.0,0.0,0.083333,0.3,1.0
PURCHASES_INSTALLMENTS_FREQUENCY,8950.0,,,,0.3644373415642458,0.39744777974541307,0.0,0.0,0.166667,0.75,1.0
CASH_ADVANCE_FREQUENCY,8950.0,,,,0.13514420033519556,0.2001213881474969,0.0,0.0,0.0,0.222222,1.5
CASH_ADVANCE_TRX,8950.0,,,,3.2488268156424582,6.824646744165832,0.0,0.0,0.0,4.0,123.0
PURCHASES_TRX,8950.0,,,,14.709832402234637,24.857649109884736,0.0,1.0,7.0,17.0,358.0
CREDIT_LIMIT,8949.0,,,,4494.449450364621,3638.8157254984967,50.0,1600.0,3000.0,6500.0,30000.0
PAYMENTS,8950.0,,,,1733.1438520248046,2895.063756904574,0.0,383.276166,856.901546,1901.1343167500002,50721.48336
MINIMUM_PAYMENTS,8637.0,,,,864.2065423050828,2372.4466065839747,0.019163,169.123707,312.343947,825.485459,76406.20752
PRC_FULL_PAYMENT,8950.0,,,,0.15371464849162012,0.29249919623387854,0.0,0.0,0.0,0.142857,1.0
TENURE,8950.0,,,,11.51731843575419,1.3383307693673285,6.0,12.0,12.0,12.0,12.0
