Feature,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
BALANCE,128.2819155,2054.1400355,1925.85812,-2760.5052645,4942.9272155,695,7.76536312849162
BALANCE_FREQUENCY,0.888889,1.0,0.11111099999999996,0.7222225000000001,1.1666664999999998,1493,16.68156424581006
PURCHASES,39.635,1110.13,1070.4950000000001,-1566.1075000000003,2715.8725000000004,808,9.027932960893855
ONEOFF_PURCHASES,0.0,577.405,577.405,-866.1075,1443.5124999999998,1013,11.318435754189943
INSTALLMENTS_PURCHASES,0.0,468.6375,468.6375,-702.95625,1171.59375,867,9.687150837988828
CASH_ADVANCE,0.0,1113.8211392500002,1113.8211392500002,-1670.7317088750003,2784.5528481250003,1030,11.508379888268157
PURCHASES_FREQUENCY,0.083333,0.916667,0.833334,-1.166668,2.166668,0,0.0
ONEOFF_PURCHASES_FREQUENCY,0.0,0.3,0.3,-0.44999999999999996,0.75,782,8.737430167597765
PURCHASES_INSTALLMENTS_FREQUENCY,0.0,0.75,0.75,-1.125,1.875,0,0.0
CASH_ADVANCE_FREQUENCY,0.0,0.222222,0.222222,-0.333333,0.555555,525,5.865921787709497
CASH_ADVANCE_TRX,0.0,4.0,4.0,-6.0,10.0,804,8.983240223463687
PURCHASES_TRX,1.0,17.0,16.0,-23.0,41.0,766,8.558659217877095
CREDIT_LIMIT,1600.0,6500.0,4900.0,-5750.0,13850.0,248,2.7709497206703912
PAYMENTS,383.276166,1901.1343167500002,1517.8581507500003,-1893.5110601250003,4177.921542875,808,9.027932960893855
MINIMUM_PAYMENTS,170.85765425,788.71350075,617.8558465,-755.9261154999999,1715.4972705,909,10.156424581005586
PRC_FULL_PAYMENT,0.0,0.142857,0.142857,-0.21428550000000002,0.35714250000000003,1474,16.46927374301676
TENURE,12.0,12.0,0.0,12.0,12.0,1366,15.262569832402233
PURCHASES_CREDIT_RATIO,0.011093402777767762,0.33760122844719176,0.326507825669424,-0.4786683357263682,0.8273629669513277,644,7.195530726256984
PAYMENT_CREDIT_RATIO,0.1308269388832134,0.5619710569964883,0.4311441181132749,-0.515889238286699,1.2086872341664008,731,8.167597765363128
BALANCE_CREDIT_RATIO,0.04149386599992391,0.7175712838618766,0.6760774178619527,-0.9726222607930052,1.7316874106548057,3,0.0335195530726257
CASH_ADVANCE_CREDIT_RATIO,0.0,0.35288581491460824,0.35288581491460824,-0.5293287223719123,0.8822145372865206,821,9.1731843575419
PURCHASE_PAYMENT_RATIO,0.04216959962295003,1.08121524043363,1.0390456408106798,-1.5163988615930697,2.63978370164965,552,6.167597765363129
