CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,PURCHASES_CREDIT_RATIO,PAYMENT_CREDIT_RATIO,BALANCE_CREDIT_RATIO,CASH_ADVANCE_CREDIT_RATIO,PURCHASE_PAYMENT_RATIO,SOM_CLUSTER
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,0.09539999999904601,0.201802083997982,0.04090074899959099,0.0,0.47274041032833236,1
C10002,3202.467416,0.909091,0.0,0.0,0.0,2784.5528481250003,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0.0,0.5861475138563056,0.4574953451422036,0.8822145372865206,0.0,3
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,0.75,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,0.10308933333319588,0.08294223226655607,0.33268651493288975,0.0,1.2429052186615226,4
C10004,1666.670542,0.7222225000000001,1499.0,1443.5124999999998,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,312.343947,0.0,12,0.19986666666640018,0.0,0.22222273893303704,0.027438402266630083,2.63978370164965,1
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,0.013333333333222223,0.565278969161956,0.6814286124943215,0.0,0.023587173874154124,1
C10006,1809.828751,1.0,1333.28,0.0,1171.59375,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,1715.4972705,0.0,12,0.7407111111069961,0.777809872217901,1.0054604172166364,0.0,0.9523035610098268,4
C10007,627.260806,1.0,2715.8725000000004,1443.5124999999998,688.38,0.0,1.0,0.75,1.0,0.0,0,41,13500.0,4177.921542875,198.065894,0.35714250000000003,12,0.5252599999996109,0.47068995022187354,0.04646376340737299,0.0,1.1159362968153188,2
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,0.18965217391221892,0.29524568782480326,0.7928924969530745,0.0,0.6423537471678988,4
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,0.1230699999998242,0.09832550971414525,0.14498949614265003,0.0,1.2516589067865374,1
C10010,152.225975,0.7222225000000001,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,0.11650909090898498,0.10588823554535827,0.01383872499998742,0.0,1.10030250582537,1
