CUST_ID,KMEANS_CLUSTER,SOM_CLUSTER
C10001,3,1
C10002,1,3
C10003,3,4
C10004,3,1
C10005,3,1
C10006,2,4
C10007,4,2
C10008,2,4
C10009,3,1
C10010,3,1
C10011,2,4
C10012,3,4
C10013,4,2
C10014,2,4
C10015,3,1
C10016,1,3
C10017,1,3
C10018,2,4
C10019,2,4
C10020,2,4
C10021,2,4
C10022,4,2
C10023,2,4
C10024,4,3
C10025,1,1
C10026,2,4
C10027,3,1
C10028,2,4
C10029,1,3
C10030,3,1
C10031,4,2
C10032,2,4
C10033,1,3
C10034,2,4
C10035,2,2
C10036,3,1
C10037,1,3
C10038,4,2
C10039,1,3
C10040,1,3
C10041,1,3
C10043,4,3
C10044,3,1
C10045,1,3
C10046,4,2
C10047,3,1
C10048,3,1
C10049,1,3
C10050,4,2
C10051,3,1
C10052,1,3
C10053,4,4
C10054,3,1
C10055,4,4
C10056,2,4
C10057,3,1
C10058,3,1
C10059,4,2
C10060,3,1
C10061,1,3
C10062,3,1
C10063,3,1
C10064,1,3
C10065,3,1
C10067,4,2
C10068,3,1
C10069,3,1
C10070,3,1
C10071,2,4
C10072,4,4
C10073,1,3
C10074,4,2
C10075,3,1
C10077,3,4
C10078,3,1
C10079,2,2
C10080,4,4
C10081,2,4
C10082,3,1
C10083,1,3
C10084,2,4
C10085,3,1
C10086,3,4
C10087,2,4
C10088,4,2
C10089,4,4
C10090,4,2
C10092,4,2
C10093,3,1
C10094,1,3
C10095,4,2
C10096,1,3
C10097,3,1
C10098,3,1
C10099,3,1
C10100,3,1
C10101,3,4
C10102,1,3
C10103,3,4
C10104,3,1
C10105,3,1
C10106,2,4
C10107,4,2
C10108,2,4
C10109,3,1
C10110,1,3
C10111,2,4
C10112,1,3
C10113,2,4
C10114,4,2
C10115,2,4
C10116,3,1
C10117,4,2
C10118,1,3
C10119,4,4
C10120,2,4
C10121,2,4
C10122,1,1
C10123,3,4
C10124,1,1
C10125,4,2
C10126,3,1
C10127,4,4
C10128,1,1
C10130,1,3
C10131,4,2
C10132,3,1
C10133,4,2
C10134,1,3
C10135,3,1
C10136,3,1
C10137,4,2
C10138,3,4
C10139,1,3
C10140,2,4
C10141,4,4
C10142,4,2
C10143,2,4
C10144,4,2
C10145,4,4
C10146,3,1
C10147,3,1
C10148,1,3
C10149,4,2
C10150,4,2
C10151,3,1
C10152,2,4
C10153,3,1
C10154,2,4
C10155,2,4
C10156,4,2
C10157,4,2
C10158,2,4
C10159,4,2
C10160,4,2
C10161,2,4
C10162,4,2
C10163,3,1
C10164,4,2
C10165,3,1
C10166,1,1
C10167,3,1
C10168,2,4
C10169,3,1
C10170,2,4
C10171,3,1
C10172,2,4
C10173,4,2
C10174,2,4
C10175,4,4
C10176,1,3
C10177,4,2
C10178,3,1
C10179,1,3
C10180,4,2
C10181,3,1
C10182,4,1
C10183,1,3
C10184,4,2
C10185,3,4
C10186,4,4
C10187,3,1
C10188,1,3
C10189,3,1
C10190,2,1
C10191,2,4
C10192,1,3
C10193,2,4
C10194,3,1
C10196,3,1
C10197,3,1
C10198,3,1
C10199,3,1
C10200,2,2
C10201,3,4
C10202,4,2
C10203,2,4
C10204,4,2
C10205,3,1
C10206,1,3
C10207,3,1
C10208,1,3
C10209,2,4
C10211,4,2
C10212,4,2
C10213,3,1
C10214,1,3
C10215,1,3
C10216,1,3
C10217,3,4
C10218,1,3
C10219,3,4
C10220,3,1
C10221,3,4
C10222,3,1
C10223,3,1
C10224,2,4
C10226,3,1
C10227,1,3
C10228,4,2
C10229,4,2
C10230,4,4
C10231,3,1
C10232,4,2
C10233,4,4
C10234,3,1
C10235,4,2
C10236,4,2
C10237,3,1
C10238,4,2
C10239,2,4
C10240,2,4
C10241,4,4
C10242,3,1
C10243,4,2
C10244,4,4
C10245,1,3
C10246,3,1
C10247,3,1
C10248,3,1
C10249,1,3
C10250,4,2
C10251,4,2
C10252,3,1
C10253,4,2
C10254,3,1
C10255,4,2
C10256,2,4
C10257,1,3
C10258,4,2
C10259,1,3
C10260,2,4
C10261,2,4
C10262,4,4
C10263,1,1
C10265,3,4
C10266,3,1
C10267,4,4
C10269,2,2
C10270,1,3
C10271,3,4
C10272,4,2
C10273,4,2
C10274,4,2
C10275,3,4
C10276,4,2
C10277,4,4
C10278,3,4
C10279,3,1
C10280,4,2
C10281,4,2
C10282,1,3
C10283,4,2
C10284,4,2
C10285,1,3
C10286,3,1
C10287,3,1
C10288,3,1
C10289,2,4
C10290,2,4
C10291,4,2
C10292,2,4
C10293,3,1
C10294,4,2
C10295,3,1
C10296,1,3
C10297,3,1
C10298,1,3
C10299,3,4
C10300,1,1
C10301,4,2
C10302,1,3
C10303,3,1
C10304,1,1
C10305,2,4
C10306,4,2
C10307,1,3
C10308,1,3
C10309,4,4
C10310,4,4
C10311,1,3
C10312,4,2
C10313,1,3
C10314,4,4
C10315,1,3
C10316,2,4
C10317,2,2
C10318,2,4
C10319,3,3
C10320,2,1
C10321,2,4
C10322,4,2
C10323,4,2
C10324,1,1
C10325,1,3
C10326,1,3
C10327,1,3
C10328,3,4
C10329,2,4
C10330,2,4
C10331,1,3
C10332,1,3
C10333,1,3
C10334,3,1
C10335,1,3
C10336,2,4
C10337,4,2
C10338,1,4
C10339,1,3
C10340,4,2
C10341,3,1
C10342,4,4
C10343,4,2
C10344,4,2
C10345,1,3
C10346,1,3
C10347,3,1
C10348,4,2
C10349,3,4
C10350,2,4
C10351,3,1
C10352,1,3
C10353,3,1
C10354,3,1
C10355,4,2
